"Rec_id","Zast_id","Name_short","Zkratka","Typ","Sloupky","Zapsano"
"31030514083",314,"Kyselova","Kys",,"01=0176,02=0177,",0
"31030514084",319,"Laurová","Lau",,"01=0179,02=0178,",0
"31030514085",321,"Dejvická","Dej","KM","01=0056M,02=0055M,",0
"31030514086",324,"Letenské náměstí","LeN",,"01=0768,02=0188,11=0187,12=0781,",0
"31030514087",331,"Libeňský most","LiM","K","01=0189M,02=0190M,",0
"31030514088",333,"Líbeznická","Líb",,"01=0195,02=0196,",0
"31030514089",337,"Lihovar","Lih",,"01=0192,02=0191,",0
"31030514090",339,"Lipanská","Lip",,"01=0194,02=0193,",0
"31030514091",348,"Sazka arena","Sar","K","01=0197M,02=0198M,",0
"31030514092",350,"Lotyšská","Lot",,"01=0200,02=0199,",0
"31030514093",354,"Jana Masaryka","JMa",,"01=0121,02=0122,",0
"31030514094",358,"Malešická továr.","MTo",,"01=0201,02=0202,",0
"31030514095",360,"Malostranská","Mls","M","01=0205M,02=0206M,07=0668,08=0669,",0
"31030514096",361,"Malostranské n.","MsN",,"01=0207,02=0208,",0
"31030514097",362,"Malovanka","Mlv","K","01=0209,02=0210,",0
